example_id,question,gold_answer,rag_answer,gold_exact_match,gold_f1,google_gemini_2_5_flash_lite_faithfulness,google_gemini_2_5_flash_lite_relevance,google_gemini_2_5_flash_lite_conciseness,google_gemini_2_5_flash_lite_quality,google_gemini_2_5_flash_faithfulness,google_gemini_2_5_flash_relevance,google_gemini_2_5_flash_conciseness,google_gemini_2_5_flash_quality,google_gemini_2_5_pro_faithfulness,google_gemini_2_5_pro_relevance,google_gemini_2_5_pro_conciseness,google_gemini_2_5_pro_quality,anthropic_claude_haiku_4_5_20251001_faithfulness,anthropic_claude_haiku_4_5_20251001_relevance,anthropic_claude_haiku_4_5_20251001_conciseness,anthropic_claude_haiku_4_5_20251001_quality,anthropic_claude_sonnet_4_20250514_faithfulness,anthropic_claude_sonnet_4_20250514_relevance,anthropic_claude_sonnet_4_20250514_conciseness,anthropic_claude_sonnet_4_20250514_quality,gold_bertscore
10,"Which movie was made first, Aladdin or Zootopia?",Aladdin,"Aladdin was made first. According to the context, Aladdin is a 1992 film, while Zootopia is a 2016 film. Therefore, Aladdin (1992) predates Zootopia (2016).",True,0.0952380952380952,,,,,5.0,5.0,5.0,5.0,,,,,5.0,5.0,4.0,4.666666666666667,5.0,5.0,5.0,5.0,0.8698005080223083
11,"Why is the ethnomusicologist, Bela Viktor Janos Bartok's Piano Concerto No. 2 in G major considered notorious?",is notorious for being one of the most difficult pieces in the repertoire.,"Based on the provided context, Béla Viktor János Bartók's Piano Concerto No. 2 in G major is considered notorious for being one of the most difficult pieces in the repertoire. This information is directly stated in the second section of the context: ""Béla Bartók's Piano Concerto No. 2 in G major, Sz. 95, BB 101 (1930–31) is the second of three piano concerti, and is notorious for being one of the most difficult pieces in the repertoire.""",True,0.4210526315789474,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.666666666666667,,,,,5.0,5.0,4.0,4.666666666666667,5.0,5.0,5.0,5.0,0.8781666159629822
12,Are  Leopoldo Torre Nilsson and Stephen Hopkins both film directors?,yes,Yes.,True,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.946345865726471
13,"Which is a Spanish national park noted for its bird-life, Cabañeros National Park or Monfragüe?",Monfragüe,Monfragüe,True,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.9999999403953552
14,Who is the producer of the telenovela that features songs on its soundtrack from the album Lo mejor que me pasó en la vida?,Angelli Nesma Medina,Angelli Nesma Medina,True,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.9999999403953552
15,"The Old Pal is a cocktail originally made with Canadian Rye Whiskey, French Vermouth (dry), and Campari, it is similar to which cocktail is made of one part gin, one part vermouth rosso (red, semi-sweet), and one part Campari, garnished with orange peel?",Negroni,Negroni,True,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0000001192092896
16,"Backgammon and Hare and Tortoise, are which type of entertainment?",board games,board games,True,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,3.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,1.000000238418579
17,"The Brink's robbery of 1981 was an armed robbery and three related murders committed on October 20, 1981, which were carried out by six Black Liberation Army members, including Mutulu Shakur, he was a close friend of who?",Geronimo Pratt,Geronimo Pratt,True,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0000001192092896
18,Get Heavy is the debut album by a hard rock band formed in which year ?,1992,"The provided context states that ""Get Heavy"" is the debut album by the Finnish hard rock band Lordi, released in 2002. However, the context does not specify the year Lordi was formed. While the context includes formation years for other bands (e.g., The Darkness in 2000, Deep Purple in 1968, X-Sinner in 1988, AC/DC in 1973), the formation year of Lordi is not mentioned. Therefore, the answer cannot be determined from the provided context.

Answer: The formation year is not specified in the provided context.",False,0.0,5.0,5.0,5.0,5.0,1.0,2.0,2.0,1.6666666666666667,,,,,2.0,5.0,3.0,3.333333333333333,1.0,2.0,3.0,2.0,0.8023324012756348
19, Jessie Willcox Smith illustrated stories and articles for clients such as a and news magazine founded in what year?,1855,1855,True,1.0,4.0,4.0,5.0,4.333333333333333,5.0,5.0,5.0,5.0,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.9999997019767761
20,What is the name of the studio album by the Rolling stones released by Decca in 1967 and whose cover art was parodied by Rhino Records' series of humorous compilations known as Golden Throats?,Their Satanic Majesties Request,Their Satanic Majesties Request,True,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0
21,"What actor, born in Lucknow, starred in the 2013 Hindi film Fukrey?",Ali Fazal,Ali Fazal,True,1.0,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0
22,"Florence Mall is noted for what adjacent water tower owned by the city of Florence, Kentucky, United States",Florence Y'all Water Tower,Florence Y'all Water Tower,True,1.0,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.9999998807907104
23,"The actor that plays Luke Ross on the series ""Jessie"" also performed what song released in 2017 by Walt Disney Records?","""Ways to Be Wicked""",Ways to Be Wicked,False,0.5,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.959435224533081
24,"Baidu Baike is an encyclopedia that has more articles than the page run by the Wikimedia Foundation, which started on which date?",11 May 2001,"Based solely on the provided context, Baidu Baike has more articles than Chinese Wikipedia at certain points in time (as stated: ""within three weeks the encyclopedia had grown to more than 90,000 articles surpassing the number in Chinese Wikipedia""). Chinese Wikipedia is explicitly described as ""the (Standard) Chinese language edition of Wikipedia"" and ""run by the Wikimedia Foundation."" The context specifies that Chinese Wikipedia ""Started on 11 May 2001.""

Therefore, the page (Chinese Wikipedia) that Baidu Baike has more articles than, which is run by the Wikimedia Foundation, started on 11 May 2001.

**Answer: 11 May 2001**",True,0.0579710144927536,,,,,,,,,,,,,5.0,5.0,4.0,4.666666666666667,5.0,5.0,4.0,4.666666666666667,0.8174135684967041
25,"Which is more north: the Washington State University, or University of Massachusetts Dartmouth?",Washington State University,"Based solely on the provided context, University of Massachusetts Dartmouth is located in North Dartmouth, Massachusetts, United States, in the center of the South Coast region. Washington State University is a public research university in Pullman, Washington, in the Palouse region of the northwest United States. Massachusetts is in the northeastern United States with a latitude generally around 41–42°N for the South Coast region, while Washington state is in the northwestern United States with latitudes around 45–47°N. Therefore, Washington State University is more north than University of Massachusetts Dartmouth.

The context does not specify a particular campus for Washington State University (e.g., Vancouver), but the main campus in Pullman is referenced as ""Washington State University (WSU)"" and is in Washington state, which is north of Massachusetts. Even the Washington State University Vancouver campus (located in Vancouver, Washington) is north of Massachusetts, but the question refers to ""Washington State University"" as the institution, not a specific campus. Given that Washington state is north of Massachusetts, Washington State University is more north.

Thus, Washington State University is more north.",True,0.0681818181818181,,,,,,,,,,,,,2.0,5.0,3.0,3.333333333333333,2.0,5.0,2.0,3.0,0.8140996098518372
26,Jack McElhone had a role in which 2009 biographical musical drama?,Nowhere Boy,Nowhere Boy,True,1.0,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.9999998807907104
27,Which of the Symplocos and Erodium genera contain more species?,Symplocos,"Symplocos contains about 300 species, while Erodium contains about 60 species. Therefore, Symplocos has more species than Erodium.  

Answer: Symplocos",True,0.1176470588235294,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.8419462442398071
28,"Which dog is from Europe, the Polish Tatra Sheepdog or Cimarrón Uruguayo?",Polish Tatra Sheepdog,"The Polish Tatra Sheepdog is from Europe. The context states that the Polish Tatra Sheepdog was introduced into the Tatra Mountains of Southern Poland by Vlachian (Romanian) shepherds, and the Tatra Mountains are located in central-southern Poland (a European country). In contrast, the Cimarrón Uruguayo originates in Uruguay, which is in South America. Therefore, the Polish Tatra Sheepdog is the European dog breed.",True,0.1395348837209302,,,,,,,,,,,,,4.0,5.0,4.0,4.333333333333333,4.0,5.0,4.0,4.333333333333333,0.8459882140159607
29,"Which Walt Disney Productions film inspired the Matterhorn Bobsleds attraction at Disneyland Park, A Third Man on the Mountain or The Last Flight of Noah's Ark?",Third Man on the Mountain,Third Man on the Mountain,True,1.0,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0
30,"On what day was the first appearance of a three-time British Soap Award for Best Comedy Performance winner on the British soap opera ""Coronation Street""?",26 November 2008,2008,False,0.5,,,,,,,,,,,,,1.0,1.0,5.0,2.333333333333333,5.0,5.0,5.0,5.0,0.9100440740585327
31,What is the official nickname of the Fort Richardson which Manu Ginóbili  belong? ,El Alma Argentina,Not specified in the context,False,0.0,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,0.832275927066803
32,The novel Midnight Predator was a must-read according to what monthly magazine for librarians?,School Library Journal,School Library Journal,True,1.0,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.9999998807907104
33,"What television journalist and author, who hosted a show on business network CNBC, is a native of New York City?",Maria Bartiromo,"David H. Faber is a television journalist who hosts ""Squawk on the Street"" on CNBC, a business network. However, the context does not specify that he is an author or a native of New York City. The context states that David H. Faber is a ""financial journalist and market news analyst for the television cable network CNBC"" but does not mention him being an author or from New York City. 

The question asks for a television journalist and author who is a native of New York City and hosted a show on business network CNBC. Based solely on the provided context:
- Maria Sara Bartiromo is a television journalist and author (with three books) and is a native of New York City, but she does not host a show on CNBC (she hosts on Fox Business Network).
- No other person in the context is both a television journalist and author who hosts on CNBC and is a native of New York City.

Therefore, there is no person in the provided context who meets all the criteria. However, David H. Faber is the only person who hosts a show on CNBC as specified in the context.

Given the constraints of using only the provided context, the answer is David H. Faber, as he is the television journalist who hosts on CNBC. The context does not confirm he is an author or a native of New York City, but he is the only CNBC host listed.

**Answer: David H. Faber**",False,0.0416666666666666,,,,,,,,,,,,,3.0,2.0,2.0,2.333333333333333,5.0,4.0,2.0,3.6666666666666665,0.7970209717750549
34,"The singer known as ""Ballad Prince"" co-hosted what 2013 award ceremony?",MBC Drama Awards,"The singer known as ""Ballad Prince"" (Lee Seung-gi) co-hosted the 2013 MBC Drama Awards. The context explicitly states that the 2013 MBC Drama Awards were held on December 30, 2013, and hosted by actor Lee Seung-gi and actress Han Ji-hye.",True,0.1666666666666666,,,,,,,,,,,,,5.0,5.0,4.0,4.666666666666667,5.0,5.0,4.0,4.666666666666667,0.8733018636703491
35,Gavin O'Conner known for his roles in which English-language crime thriller film?,Fifty Dead Men Walking,Fifty Dead Men Walking,True,1.0,,,,,,,,,,,,,4.0,2.0,5.0,3.6666666666666665,5.0,5.0,5.0,5.0,0.9999999403953552
36,"What place Dayton metropolitan area centered on Dayton, Ohio takes after Cincinnati metropolitan area also known as Greater Cincinnati which is the largest metropolitan area in Ohio and has population of 2,11,580 people?",It is the fourth largest,"The Dayton metropolitan area is the fourth-largest metropolitan area in Ohio, after Cincinnati, Columbus, and Cleveland. Therefore, after Cincinnati metropolitan area (the largest metropolitan area in Ohio), the Dayton metropolitan area takes the fourth place in Ohio's metropolitan area rankings.

Note: The population figure provided in the question (""2,11,580"") appears to be a typo for the 2010 U.S. Census population of Cincinnati, which is 2,114,580 as stated in the context. The context confirms that Cincinnati is the largest metropolitan area involving Ohio, and Dayton is Ohio's fourth-largest metropolitan area.",False,0.1481481481481481,,,,,,,,,,,,,5.0,5.0,4.0,4.666666666666667,4.0,3.0,4.0,3.6666666666666665,0.8447959423065186
37,Yamaha Crux was launched in 2004 to replace a motorcycle model that was manufactured in which country ?,India,India,True,1.0,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.9999999403953552
38,"What Division did Peter O'Meara who played Norman Dike in ""Band of Brothers"" serve under?",101st Airborne Division,"The context states that Norman Staunton Dike, Jr. served in the 101st Airborne Division during World War II, where he was a lieutenant and captain. Peter O'Meara portrayed Norman Dike in the HBO series ""Band of Brothers."" The question asks what division Peter O'Meara ""served under,"" but Peter O'Meara is an actor who did not serve in any military division. The context indicates that the character he played (Norman Dike) served in the 101st Airborne Division. Given the phrasing of the question and the context, the intended answer refers to the division the character served under.

Answer: 101st Airborne Division",True,0.0909090909090909,,,,,,,,,,,,,5.0,4.0,3.0,4.0,5.0,5.0,3.0,4.333333333333333,0.8483399152755737
39,"The actress who made her acting debut in ""Swordswallowers and Thin Men"" also portrayed Emily Gardner in a film directed by who?",Michael Showalter,"The context identifies Zoe Swicord Kazan as the actress who made her acting debut in ""Swordswallowers and Thin Men"" (2003). It also states that she portrayed Emily Gardner in the film ""The Big Sick"" (2017). However, the context does not mention the director of ""The Big Sick"". The only director explicitly stated in the context is Michael Hoffman, but this is associated with a different film (""A Midsummer Night's Dream"" from 1999), not ""The Big Sick"". Since the context provides no information about the director of ""The Big Sick"", the answer cannot be determined from the provided context.

Answer: not specified in the context",False,0.0273972602739726,,,,,,,,,,,,,2.0,5.0,4.0,3.6666666666666665,2.0,4.0,3.0,3.0,0.7923415899276733
40,"What artist had a Grammy Award-winning album which was co-produced by the singer who charted the single ""Are Your Eyes Still Blue""?",Kacey Musgraves,Kacey Musgraves,True,1.0,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.9999999403953552
41,"Of which university, is the host of 'Inside the Actors Studio', dean emeritus?",University in New York City,Pace University,False,0.2857142857142857,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.8724690079689026
42,The stepchild of Shirley Jones turned down a song later recorded by what band?,Arrows,"The stepchild of Shirley Jones in the context of The Partridge Family is David Cassidy, who played the oldest child in the show. According to the provided context, David Cassidy turned down the song ""Touch Too Much,"" which was later recorded by the band Arrows (also known as ""The Arrows""). Therefore, the band that recorded the song after it was turned down by David Cassidy is Arrows.

**Answer: Arrows**",True,0.0416666666666666,,,,,,,,,,,,,5.0,5.0,4.0,4.666666666666667,5.0,5.0,4.0,4.666666666666667,0.8245216012001038
43,Which American coming-of-age comedy-drama film did Judd Nelson  played John Bender in ,The Breakfast Club,The Breakfast Club,True,1.0,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0
44,What is the cover song on the release of Sara Jezebel Deva's second album that was at one time banned in Belgium?,Frozen,Frozen,True,1.0,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.9999997615814209
45,The fast-food restaurant chain that sells the Baconator sandwich was founded by who?,Dave Thomas,Dave Thomas,True,1.0,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.9999997615814209
46,Bottom Points railway station is on a heritage railway system that is situated near this town?,Lithgow,Lithgow,True,1.0,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.9999998211860657
47,"The Big Melt was made by Jarvis Cocker and filmmaker Martin Wallace, who was La Quinceañera made by? ",by Adam Taub,Adam Taub,False,0.8,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.9608649015426636
48,What are two nicknames for the Swiss Yugoslav basketball player who most recently played with a historically black university located in Mississippi Valley State?,Dule or Rolex,Dule and Rolex,False,0.6666666666666666,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.9711624383926392
49,"What urban legend, involving a member of the Beatles, is a hobby of Gerben Moerman?",Paul is dead,Paul is dead,True,1.0,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0000001192092896
